0.0,-16.0,57.0,
0.0004,-36.0,57.0,
0.0008,-1.0,17.0,
0.0012,-31.0,25.0,
0.0016,-78.0,57.0,
0.002,-62.0,49.0,
0.0024,-15.0,9.0,
0.0028,-11.0,1.0,
0.0032,23.0,-39.0,
0.0036,27.0,-39.0,
0.004,36.0,-47.0,
0.0044,-5.0,-31.0,
0.0048,-2.0,-23.0,
0.0052,2.0,-39.0,
0.0056,-11.0,-23.0,
0.006,51.0,-55.0,
0.0064,23.0,-31.0,
0.0068,69.0,-63.0,
0.0072,80.0,-71.0,
0.0076,83.0,-71.0,
0.008,58.0,-47.0,
0.0084,32.0,-23.0,
0.0088,23.0,-15.0,
0.0092,35.0,-15.0,
0.0096,50.0,-39.0,
0.01,12.0,-7.0,
0.0104,-29.0,33.0,
0.0108,-49.0,49.0,
0.0112,-36.0,33.0,
0.0116,-33.0,33.0,
0.012,-50.0,49.0,
0.0124,-56.0,49.0,
0.0128,-62.0,57.0,
0.0132,-58.0,81.0,
0.0136,-51.0,49.0,
0.014,-61.0,65.0,
0.0144,-52.0,57.0,
0.0148,-22.0,49.0,
0.0152,-48.0,65.0,
0.0156,-19.0,33.0,
0.016,-28.0,49.0,
0.0164,-12.0,25.0,
0.0168,-5.0,49.0,
0.0172,19.0,1.0,
0.0176,14.0,9.0,
0.018,37.0,-23.0,
0.0184,33.0,-23.0,
0.0188,47.0,-47.0,
0.0192,30.0,-15.0,
0.0196,84.0,-31.0,
0.02,39.0,-23.0,
0.0204,31.0,-55.0,
0.0208,29.0,-47.0,
0.0212,66.0,-31.0,
0.0216,38.0,-39.0,
0.022,29.0,-31.0,
0.0224,25.0,-47.0,
0.0228,34.0,-31.0,
0.0232,6.0,-15.0,
0.0236,7.0,-39.0,
0.024,-12.0,-7.0,
0.0244,-16.0,1.0,
0.0248,-20.0,-15.0,
0.0252,-26.0,-7.0,
0.0256,-34.0,-7.0,
0.026,-48.0,33.0,
0.0264,-44.0,25.0,
0.0268,-55.0,33.0,
0.0272,-56.0,41.0,
0.0276,-46.0,17.0,
0.028,-22.0,49.0,
0.0284,-57.0,57.0,
0.0288,-63.0,57.0,
0.0292,-56.0,57.0,
0.0296,-31.0,57.0,
0.03,-61.0,73.0,
0.0304,-50.0,57.0,
0.0308,-23.0,33.0,
0.0312,-11.0,41.0,
0.0316,3.0,49.0,
0.032,4.0,25.0,
0.0324,0.0,9.0,
0.0328,0.0,17.0,
0.0332,10.0,-7.0,
0.0336,34.0,-31.0,
0.034,19.0,1.0,
0.0344,36.0,-23.0,
0.0348,44.0,-47.0,
0.0352,33.0,-31.0,
0.0356,61.0,-23.0,
0.036,34.0,-23.0,
0.0364,39.0,-39.0,
0.0368,30.0,-39.0,
0.0372,37.0,-31.0,
0.0376,26.0,-15.0,
0.038,35.0,-39.0,
0.0384,34.0,-55.0,
0.0388,30.0,-47.0,
0.0392,15.0,-39.0,
0.0396,11.0,-47.0,
0.04,-2.0,-15.0,
0.0404,-1.0,-15.0,
0.0408,-5.0,-15.0,
0.0412,-15.0,-7.0,
0.0416,-25.0,-15.0,
0.042,-19.0,25.0,
0.0424,-46.0,33.0,
0.0428,-41.0,17.0,
0.0432,-40.0,25.0,
0.0436,-30.0,41.0,
0.044,-49.0,49.0,
0.0444,-51.0,33.0,
0.0448,-58.0,49.0,
0.0452,-58.0,73.0,
0.0456,-48.0,81.0,
0.046,-45.0,57.0,
0.0464,-46.0,33.0,
0.0468,-26.0,25.0,
0.0472,-20.0,41.0,
0.0476,-19.0,25.0,
0.048,-11.0,17.0,
0.0484,-7.0,25.0,
0.0488,0.0,25.0,
0.0492,2.0,33.0,
0.0496,15.0,1.0,
0.05,6.0,25.0,
0.0504,24.0,-7.0,
0.0508,23.0,-23.0,
0.0512,31.0,1.0,
0.0516,30.0,9.0,
0.052,39.0,-31.0,
0.0524,46.0,-47.0,
0.0528,38.0,-31.0,
0.0532,41.0,-23.0,
0.0536,34.0,1.0,
0.054,34.0,-39.0,
0.0544,38.0,-63.0,
0.0548,39.0,-39.0,
0.0552,27.0,-39.0,
0.0556,23.0,-55.0,
0.056,11.0,-31.0,
0.0564,16.0,-39.0,
0.0568,5.0,-7.0,
0.0572,-9.0,-23.0,
0.0576,-18.0,-39.0,
0.058,-25.0,1.0,
0.0584,-33.0,-31.0,
0.0588,-19.0,-39.0,
0.0592,-17.0,-7.0,
0.0596,3.0,9.0,
0.06,-36.0,9.0,
0.0604,-48.0,9.0,
0.0608,-55.0,41.0,
0.0612,-41.0,25.0,
0.0616,-51.0,57.0,
0.062,-45.0,25.0,
